"Name","PlayerID","Year","Rank","MVP","First","Pts.Won","Pts.Max","Share","Age","Tm","G","winPct","pctGamesPlayed","MP","PTS","TRB","AST","STL","BLK","FG.","X3P.","FT.","WS","WS.48","TS","raptorO","raptorD","raptorPM","raptorWAR","USG"
"Russell Westbrook","westbru01",2013,9,0,0,9,1210,0.007,24,"OKC",82,0.731707317073171,1,34.9,23.2,5.2,7.4,1.8,0.3,0.438,0.323,0.8,11.6,0.195,53.2,5.4,0.8,6.2,13.02,32.8
"Dwyane Wade","wadedw01",2013,10,0,0,5,1210,0.004,31,"MIA",69,0.804878048780488,0.841463414634146,34.7,21.2,5,5.1,1.9,0.8,0.521,0.258,0.725,9.6,0.192,57.1,3.6,1.6,5.2,9.67,29.5
"Stephen Curry","curryst01",2013,11,0,0,3,1210,0.002,24,"GSW",78,0.573170731707317,0.951219512195122,38.2,22.9,4,6.9,1.6,0.2,0.451,0.453,0.9,11.2,0.18,58.9,5.2,-0.1,5.1,11.95,26.4
"Kevin Garnett","garneke01",2013,12,0,0,1,1210,0.001,36,"BOS",68,0.5,0.829268292682927,29.7,14.8,7.8,2.3,1.1,0.9,0.496,0.125,0.786,5.6,0.133,53.5,-2.3,4.3,2,4.9,24.5
"Marc Gasol","gasolma01",2013,12,0,0,1,1210,0.001,28,"MEM",80,0.682926829268293,0.975609756097561,35,14.1,7.8,4,1,1.7,0.494,0.071,0.848,11.5,0.197,55.9,0.8,4.4,5.2,11.3,19.2
"Ty Lawson","lawsoty01",2013,12,0,0,1,1210,0.001,25,"DEN",73,0.695121951219512,0.890243902439024,34.4,16.7,2.7,6.9,1.5,0.1,0.461,0.366,0.756,7.4,0.141,54.9,2.7,-1.7,1,4.81,22.3
"David Lee","leeda02",2013,12,0,0,1,1210,0.001,29,"GSW",79,0.573170731707317,0.963414634146341,36.8,18.5,11.2,3.5,0.8,0.3,0.519,0,0.797,9.1,0.15,56.1,0.7,0.3,1,5.5,23.2
"Joakim Noah","noahjo01",2013,12,0,0,1,1210,0.001,27,"CHI",66,0.548780487804878,0.804878048780488,36.8,11.9,11.1,4,1.2,2.1,0.481,0,0.751,7.3,0.145,53.4,-0.8,4.3,3.5,7.62,17.2
"Kevin Durant","duranke01",2012,2,0,24,889,1210,0.735,23,"OKC",66,0.712121212121212,1,38.6,28,8,3.5,1.3,1.2,0.496,0.387,0.86,12.2,0.23,61,4.6,0.3,4.9,9.95,31.3
"Chris Paul","paulch01",2012,3,0,6,385,1210,0.318,26,"LAC",60,0.606060606060606,0.909090909090909,36.4,19.8,3.6,9.1,2.5,0.1,0.478,0.371,0.861,12.7,0.278,58.1,8.1,1.9,10,14.16,24.3
"Kobe Bryant","bryanko01",2012,4,0,2,352,1210,0.291,33,"LAL",58,0.621212121212121,0.878787878787879,38.5,27.9,5.4,4.6,1.2,0.3,0.43,0.303,0.845,6.2,0.132,52.7,3,-0.7,2.3,5.7,35.7
"Tony Parker","parketo01",2012,5,0,4,331,1210,0.274,29,"SAS",60,0.757575757575758,0.909090909090909,32.1,18.3,2.9,7.7,1,0.1,0.48,0.23,0.799,7.1,0.177,53.9,4.1,1.2,5.3,7.85,27.7
"Kevin Love","loveke01",2012,6,0,0,58,1210,0.048,23,"MIN",55,0.393939393939394,0.833333333333333,39,26,13.3,2,0.9,0.5,0.448,0.372,0.824,10,0.223,56.8,5.1,-0.1,5,8.47,28.8
